state_fk,market_fk,time_fk,p10,p50,p90
TX,Dallas / Houston,2024-08-02,8796.702804076598,13034.301872231172,14478.05022839915
TX,Dallas / Houston,2024-08-03,12945.879737949615,26525.698317737413,30760.270445319078
TX,Dallas / Houston,2024-08-04,4527.598961966876,7180.852744954393,11452.982283702184
TX,Dallas / Houston,2024-08-05,1939.6123436570347,3976.380280881835,8473.88472138957
TX,Dallas / Houston,2024-08-06,2738.286587673734,4760.04178212038,9909.233839163448
TX,Dallas / Houston,2024-08-07,6806.563863887326,9360.846449891733,13830.473408618533
TX,Dallas / Houston,2024-08-08,4060.2822523144273,7351.867958646532,10378.703258054275
TX,Dallas / Houston,2024-08-09,1166.6593344032128,3573.517031754073,8839.91188240263
TX,Dallas / Houston,2024-08-10,3906.642334104949,6927.362884740607,11277.22934571889
TX,Dallas / Houston,2024-08-11,6071.86371544292,8592.762720980247,11310.625159778188
TX,Dallas / Houston,2024-08-12,2274.8557368349666,4615.0678374123145,8199.772664169624
TX,Dallas / Houston,2024-08-13,5451.82621757033,8106.124163120432,10930.508026421938
TX,Dallas / Houston,2024-08-14,2457.69639217758,5286.297315157237,7942.444014280258
TX,Dallas / Houston,2024-08-15,4756.536289419499,7500.399612234211,11057.853838179362
TX,Dallas / Houston,2024-08-16,6720.835109910075,8611.31780079679,13021.874341814764
TX,Dallas / Houston,2024-08-17,4425.992760783867,6971.6937221834305,10283.891309838571
TX,Dallas / Houston,2024-08-18,3029.1933667145595,5528.262414843739,8167.564622108367
TX,Dallas / Houston,2024-08-19,4503.887198078508,7110.931242395126,10633.83921419624
TX,Dallas / Houston,2024-08-20,6746.937522734567,8589.055909469342,13808.913224109912
TX,Dallas / Houston,2024-08-21,10410.95893707248,12486.888857795027,14796.182029885895
TX,Dallas / Houston,2024-08-22,6519.956455058476,8587.47287270106,10773.406641902677
TX,Dallas / Houston,2024-08-23,4819.5755768079325,7406.675444180351,10641.284631764967
TX,Dallas / Houston,2024-08-24,10502.626984397222,11558.208444300366,14151.291205089314
TX,Dallas / Houston,2024-08-25,1785.9535124794656,4539.563188763383,7901.133740430955
TX,Dallas / Houston,2024-08-26,990.4793776972111,3912.4001376858178,7696.064266053308
TX,Dallas / Houston,2024-08-27,1250.6838134185289,3817.366336632996,7316.658489702462
TX,Dallas / Houston,2024-08-28,1101.9514555062544,3586.479174723037,8375.6942911732
TX,Dallas / Houston,2024-08-29,2889.3479636265793,5077.284514018144,8056.103110145337
TX,Dallas / Houston,2024-08-30,2355.1889636889455,3345.5138781404607,8259.324714487993
TX,Dallas / Houston,2024-08-31,858.0477535256767,3352.2463297648796,8603.782522703405
TX,Dallas / Houston,2024-09-01,1338.279574650868,3336.5518807835283,8782.958837885068
TX,Dallas / Houston,2024-09-02,4310.017570635934,6759.954878132231,10712.115538287
TX,Dallas / Houston,2024-09-03,3095.102987146521,5850.98305357861,10903.649622704923
TX,Dallas / Houston,2024-09-04,3087.474616076002,5627.891028894843,9755.999154149491
TX,Dallas / Houston,2024-09-05,1695.9247639952075,3211.6522106135003,8604.783830166823
TX,Dallas / Houston,2024-09-06,4645.961866102026,7135.293127880351,11599.57231373659
TX,Dallas / Houston,2024-09-07,7639.252914615973,11023.150625704999,16147.475563293136
TX,Dallas / Houston,2024-09-08,4462.360367164784,7044.616712510814,11429.171888003217
